Draw,Date,Result,Super Ball
baloto,2021-10-20,11-14-15-22-25,16
revancha,2021-10-20,13-14-18-21-39,13
baloto,2021-10-16,02-08-11-13-22,15
revancha,2021-10-16,06-10-25-26-27,06
baloto,2021-10-13,01-02-11-15-33,12
revancha,2021-10-13,02-10-15-22-25,06
baloto,2021-10-09,05-15-27-34-35,04
revancha,2021-10-09,04-08-12-27-41,06
baloto,2021-10-06,05-20-22-32-35,16
revancha,2021-10-06,10-20-25-30-36,16
baloto,2021-10-02,01-16-24-36-42,11
revancha,2021-10-02,19-30-38-39-41,01
baloto,2021-09-29,20-28-35-37-39,03
revancha,2021-09-29,04-09-13-18-25,09
baloto,2021-09-25,09-17-39-41-43,01
revancha,2021-09-25,06-07-23-36-43,10
baloto,2021-09-22,14-19-40-41-43,02
revancha,2021-09-22,08-23-27-33-42,09
baloto,2021-09-18,02-10-11-18-23,10
revancha,2021-09-18,12-24-34-37-40,08
baloto,2021-09-15,15-20-34-35-38,13
revancha,2021-09-15,04-22-28-35-37,16
baloto,2021-09-11,08-09-25-32-41,01
revancha,2021-09-11,07-12-27-35-41,08
baloto,2021-09-08,08-14-25-31-34,06
revancha,2021-09-08,11-19-28-32-36,06
baloto,2021-09-04,22-30-31-34-41,16
revancha,2021-09-04,08-15-30-36-41,14
baloto,2021-09-01,01-07-09-31-40,13
revancha,2021-09-01,07-12-20-23-32,01
baloto,2021-08-28,08-18-21-30-43,05
revancha,2021-08-28,03-20-27-40-43,01
baloto,2021-08-25,07-18-20-22-34,11
revancha,2021-08-25,03-07-09-17-39,08
baloto,2021-08-21,12-14-18-37-40,02
revancha,2021-08-21,08-13-22-24-30,10
baloto,2021-08-18,08-12-15-31-38,14
revancha,2021-08-18,06-09-19-37-39,15
baloto,2021-08-14,10-14-32-35-42,13
revancha,2021-08-14,15-21-31-32-33,06
baloto,2021-08-11,02-09-24-26-42,05
revancha,2021-08-11,03-11-22-27-39,02
baloto,2021-08-07,14-18-20-39-41,05
revancha,2021-08-07,01-06-21-34-40,07
baloto,2021-08-04,06-10-15-33-42,16
revancha,2021-08-04,01-08-19-29-40,07
baloto,2021-07-31,01-27-28-34-37,11
revancha,2021-07-31,02-09-17-24-25,08
baloto,2021-07-28,06-22-28-32-36,02
revancha,2021-07-28,08-19-28-36-40,14
baloto,2021-07-24,21-22-29-30-38,11
revancha,2021-07-24,03-13-16-36-40,05
baloto,2021-07-21,07-09-15-16-26,11
revancha,2021-07-21,03-07-23-35-36,10
baloto,2021-07-17,14-18-20-32-33,04
revancha,2021-07-17,15-16-24-26-40,09
baloto,2021-07-14,07-08-18-34-42,08
revancha,2021-07-14,20-24-27-29-36,01
baloto,2021-07-10,08-15-30-35-36,03
revancha,2021-07-10,03-05-25-27-36,14
baloto,2021-07-07,05-09-16-29-42,11
revancha,2021-07-07,05-17-21-26-31,07
baloto,2021-07-03,21-22-23-33-41,08
revancha,2021-07-03,01-09-13-22-29,14
baloto,2021-06-30,26-29-39-42-43,04
revancha,2021-06-30,23-28-35-37-38,15
baloto,2021-06-26,06-21-22-34-36,10
revancha,2021-06-26,04-14-31-32-43,16
baloto,2021-06-23,06-19-20-37-38,10
revancha,2021-06-23,15-16-17-39-41,09
baloto,2021-06-19,01-05-08-14-40,08
revancha,2021-06-19,05-08-14-26-33,03
baloto,2021-06-16,07-08-21-30-42,02
revancha,2021-06-16,02-06-28-34-38,11
baloto,2021-06-12,09-15-25-27-33,13
revancha,2021-06-12,18-19-25-26-43,09
baloto,2021-06-09,07-14-20-34-41,04
revancha,2021-06-09,06-07-26-27-41,15
baloto,2021-06-05,01-04-05-16-30,07
revancha,2021-06-05,01-09-10-13-27,08
baloto,2021-06-02,01-15-22-36-37,13
revancha,2021-06-02,03-05-22-26-35,03
baloto,2021-05-29,08-12-18-40-43,04
revancha,2021-05-29,01-08-18-29-40,02
baloto,2021-05-26,03-09-12-34-35,13
revancha,2021-05-26,05-16-31-32-33,14
baloto,2021-05-22,08-29-32-34-42,05
revancha,2021-05-22,02-09-13-35-39,12
baloto,2021-05-19,09-12-16-21-30,01
revancha,2021-05-19,13-20-29-39-40,16
baloto,2021-05-15,03-05-25-30-42,08
revancha,2021-05-15,17-26-31-35-38,10
baloto,2021-05-12,04-23-28-29-31,16
revancha,2021-05-12,04-06-08-09-16,05
baloto,2021-05-08,04-08-09-28-37,11
revancha,2021-05-08,05-10-24-29-41,11
baloto,2021-05-05,02-05-10-23-34,07
revancha,2021-05-05,03-15-17-29-32,16
baloto,2021-05-01,22-23-27-28-30,03
revancha,2021-05-01,01-16-34-41-43,02
