Draw,Date,Result,Super Ball
revancha,2024-02-14,03-16-19-37-40,07
baloto,2024-02-10,06-14-31-34-42,07
revancha,2024-02-10,09-14-22-24-29,01
baloto,2024-02-07,02-11-26-28-41,05
revancha,2024-02-07,02-04-22-29-35,16
baloto,2024-02-03,18-20-39-40-43,14
revancha,2024-02-03,05-10-16-29-36,13
baloto,2024-01-31,02-14-20-26-28,12
revancha,2024-01-31,04-08-24-34-40,05
baloto,2024-01-27,14-24-33-35-36,07
revancha,2024-01-27,15-24-28-29-33,13
baloto,2024-01-24,02-20-21-27-38,11
revancha,2024-01-24,07-10-11-13-25,01
baloto,2024-01-20,19-23-32-36-39,11
revancha,2024-01-20,08-16-20-27-37,04
baloto,2024-01-17,04-25-26-27-30,04
revancha,2024-01-17,11-29-30-36-41,02
baloto,2024-01-13,01-03-23-27-39,07
revancha,2024-01-13,17-21-26-29-37,04
baloto,2024-01-10,02-11-16-28-43,03
revancha,2024-01-10,06-08-09-13-43,11
baloto,2024-01-06,22-27-37-40-42,14
revancha,2024-01-06,02-10-12-17-25,12
baloto,2024-01-03,06-20-31-36-41,05
revancha,2024-01-03,01-03-05-14-28,08
baloto,2023-12-30,08-13-21-32-33,08
revancha,2023-12-30,24-28-32-35-39,16
baloto,2023-12-27,03-09-22-26-27,01
revancha,2023-12-27,15-23-26-35-42,03
baloto,2023-12-23,07-11-25-28-30,09
revancha,2023-12-23,05-11-12-33-41,04
baloto,2023-12-20,01-06-07-17-21,13
revancha,2023-12-20,22-30-32-39-42,07
baloto,2023-12-16,04-05-17-18-38,03
revancha,2023-12-16,16-19-24-27-38,08
baloto,2023-12-13,14-25-27-30-42,08
revancha,2023-12-13,12-18-37-40-42,01
baloto,2023-12-09,07-10-12-35-41,04
revancha,2023-12-09,02-18-26-33-36,01
baloto,2023-12-06,16-25-26-35-39,14
revancha,2023-12-06,05-15-20-29-41,06
baloto,2023-12-02,11-14-16-18-19,15
revancha,2023-12-02,02-27-30-34-37,14
baloto,2023-11-29,07-11-25-32-35,01
revancha,2023-11-29,01-10-11-23-36,04
baloto,2023-11-25,09-11-19-28-41,09
revancha,2023-11-25,14-18-26-37-42,07
baloto,2023-11-22,15-18-19-30-42,02
revancha,2023-11-22,17-30-32-35-37,09
baloto,2023-11-18,03-19-26-27-29,06
revancha,2023-11-18,09-14-22-38-43,14
baloto,2023-11-15,05-16-26-28-38,08
revancha,2023-11-15,12-16-17-28-36,13
baloto,2023-11-11,08-11-13-25-32,06
revancha,2023-11-11,05-08-15-35-39,12
baloto,2023-11-08,03-11-18-27-33,09
revancha,2023-11-08,17-18-28-34-42,12
baloto,2023-11-04,01-02-12-30-36,01
revancha,2023-11-04,01-04-16-26-27,14
baloto,2023-11-01,05-09-19-30-37,06
revancha,2023-11-01,11-14-32-34-36,08
baloto,2023-10-28,05-20-33-36-43,10
revancha,2023-10-28,05-08-17-27-31,16
baloto,2023-10-25,15-22-25-28-33,07
revancha,2023-10-25,07-10-12-27-37,15
baloto,2023-10-21,12-18-25-34-43,13
revancha,2023-10-21,06-10-18-35-37,13
baloto,2023-10-18,20-21-26-29-40,09
revancha,2023-10-18,02-05-14-30-31,14
baloto,2023-10-14,04-15-26-27-29,09
revancha,2023-10-14,03-06-28-35-36,05
baloto,2023-10-11,03-05-12-23-36,01
revancha,2023-10-11,02-07-13-25-29,10
baloto,2023-10-07,06-23-25-37-40,15
revancha,2023-10-07,10-14-26-32-39,11
baloto,2023-10-04,06-22-29-30-31,10
revancha,2023-10-04,02-03-21-27-40,09
baloto,2023-09-30,10-15-19-21-41,10
revancha,2023-09-30,04-08-10-15-18,08
baloto,2023-09-27,02-20-25-36-41,11
revancha,2023-09-27,13-14-23-25-40,11
baloto,2023-09-23,13-20-24-30-42,12
revancha,2023-09-23,03-13-20-30-35,14
baloto,2023-09-20,02-03-10-21-23,14
revancha,2023-09-20,08-09-30-37-40,10
baloto,2023-09-16,06-29-32-39-43,16
revancha,2023-09-16,08-33-39-41-42,01
baloto,2023-09-13,07-11-28-38-39,02
revancha,2023-09-13,03-21-34-36-39,15
baloto,2023-09-09,15-18-22-34-42,03
revancha,2023-09-09,16-31-33-36-38,05
baloto,2023-09-06,09-33-34-41-43,07
revancha,2023-09-06,17-27-38-41-43,05
baloto,2023-09-02,01-03-20-29-39,01
revancha,2023-09-02,14-16-21-27-29,05
baloto,2023-08-30,04-08-16-27-31,07
revancha,2023-08-30,06-15-16-18-37,09
baloto,2023-08-26,05-14-22-37-43,13
revancha,2023-08-26,01-10-14-17-34,07
baloto,2023-08-23,04-15-23-24-33,12
revancha,2023-08-23,08-10-16-19-37,12
baloto,2023-08-19,05-10-11-25-33,04
revancha,2023-08-19,02-03-04-05-20,03
baloto,2023-08-16,03-10-20-31-41,06
revancha,2023-08-16,13-17-27-28-42,03
baloto,2023-08-12,19-20-29-31-40,11
revancha,2023-08-12,13-18-26-37-39,01
baloto,2023-08-09,03-12-22-24-25,06
revancha,2023-08-09,02-16-20-31-33,04
baloto,2023-08-05,04-07-19-23-32,02
revancha,2023-08-05,06-18-27-40-42,07
baloto,2023-08-02,05-19-24-25-37,13
revancha,2023-08-02,19-24-26-36-37,05
baloto,2023-07-29,05-09-11-14-24,04
revancha,2023-07-29,14-20-25-29-30,09
baloto,2023-07-26,05-06-17-27-41,13
revancha,2023-07-26,06-20-27-29-43,09
baloto,2023-07-22,14-15-21-40-42,11
revancha,2023-07-22,02-04-24-31-40,15
baloto,2023-07-19,02-13-18-19-32,13
revancha,2023-07-19,03-21-23-32-33,09
baloto,2023-07-15,02-15-27-33-35,16
revancha,2023-07-15,15-16-25-36-41,02
baloto,2023-07-12,10-27-31-35-43,13
revancha,2023-07-12,27-36-39-42-43,11
baloto,2023-07-08,13-15-30-38-41,03
revancha,2023-07-08,16-17-28-30-38,06
baloto,2023-07-05,04-16-17-23-29,03
revancha,2023-07-05,15-18-21-31-41,12
baloto,2023-07-01,14-26-27-35-37,03
